1012.03,25.17,8.7843,40.11,89.61,0,114.79,39.71,116.82,151.82,265,11.4,572.5,5.44,12.3065625,1.48,70.36
1011.66,25.02,9.35983,45.86,90.27,0,122.99,49.63,149.076,145.27,265,12.4,576.32,5.7,12.20390625,1.48,80.47
1011.07,25.03,22.44,33.05,90.12,0,124.68,39.05,105.264,130.6,265,8.77,583.95,3.98,11.93625,1.44,61
1010.54,25.04,11.11,28.5,90.64,0,118.13,43.22,88.032,120.95,265,7.96,572.5,3.69,12.6825,1.06,53.22
1009.83,25.08,19.12,31.16,90.77,0,137.79,58.19,100.932,128.87,265,8,568.68,3.73,14.01625,1.06,56.09
1009.77,25.12,20.71,28.95,90.71,0,126.73,51.69,98.532,122.66,265,8.28,557.23,4.12,14.3475,0.86,49.83
1010.15,25.22,9.72,26.76,90.55,0,92.14,38.51,77.568,106.66,265,8.59,595.4,4.56,14.335,0.46,47.9
1010.46,25.2,9.26,24.1,91.24,0.04,159.81,33.14,66.852,90.45,265,8.51,694.63,4.62,14.53125,0.69,42.74
1011.12,25.04,20.74,25.18,93.15,4.81,186.72,28.62,74.04,84.22,265,9.07,938.9,4.87,14.71125,0.63,44.41
1011.78,24.78,27.54,33.22,97.12,18.73,261.08,27.48,64.932,59.52,265,10.49,1190.8,5.25,14.8625,0.77,63.39
1012.36,24.84,18.4,27.63,97.94,44.76,280.47,33.51,47.808,46.71,265,8.99,1057.22,4.45,14.81875,0.84,50.9
1011.6,24.96,45.45,48.16,97.34,31.22,258.65,41.71,74.94,47.73,264.67,12.56,1118.28,5.47,14.73125,0.8,98.23
1012.9,24.4,32.89,34.33,97.67,45.11,256.21,28.43,56.076,37.43,265,9.3,935.08,3.99,14.32125,0.98,73.16
1012.45,24.2,10.03,14.45,93.96,65.4,155.49,15.63,26.868,26.72,265,4.09,713.72,1.79,6.45,1.26,30.82
1011.72,24.17,23.81,29.86,94.53,72.12,148.73,14.52,44.736,33.59,265,8.21,797.68,3.15,4.46,1.11,63.12
1008.11,23.76,33.26,38.19,95.51,53.73,212.47,19.23,56.676,37.81,265,11.73,877.83,4.57,10.17,1.11,79.36
